File, Function, Total Width, Leading Space(s), Leading Tab(s)
repos/javascript/create-react-app/packages/react-scripts/scripts/utils/verifyPackageTree.js,"verifyPackageTree )",133, 12, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/utils/verifyPackageTree.js,"*global*",133, 12, 0
repos/javascript/create-react-app/packages/react-scripts/scripts/utils/createJestConfig.js,"*global*",89, 4, 0
repos/javascript/create-react-app/packages/react-scripts/template/src/serviceWorker.js,"register config )",94, 8, 0
repos/javascript/create-react-app/packages/react-scripts/template/src/serviceWorker.js,"*global*",94, 8, 0
repos/javascript/create-react-app/packages/react-scripts/template/src/serviceWorker.js,"registerValidSW swUrl , config )",80, 14, 0
repos/javascript/create-react-app/packages/react-scripts/template/src/serviceWorker.js,"checkValidServiceWorker swUrl , config )",81, 6, 0
repos/javascript/create-react-app/packages/react-scripts/template/src/serviceWorker.js,"unregister )",57, 4, 0
repos/javascript/create-react-app/packages/react-scripts/bin/react-scripts.js,"*global*",87, 6, 0
repos/javascript/create-react-app/packages/babel-plugin-named-asset-import/index.js,"generateNewSourcePath loaderMap , moduleName , sourcePath )",70, 2, 0
repos/javascript/create-react-app/packages/babel-plugin-named-asset-import/index.js,"replaceMatchingSpecifiers path , loaderMap , callback )",68, 4, 0
repos/javascript/create-react-app/packages/babel-plugin-named-asset-import/index.js,"namedAssetImportPlugin { types : t } )",81, 14, 0
repos/javascript/create-react-app/packages/react-error-overlay/build.js,"build config , name , callback )",71, 6, 0
repos/javascript/create-react-app/packages/react-error-overlay/build.js,"runBuildSteps )",67, 6, 0
repos/javascript/create-react-app/packages/react-error-overlay/build.js,"function )",36, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/build.js,"setupWatch )",45, 4, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/listenToRuntimeErrors.js,"stopListening )",36, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/listenToRuntimeErrors.js,"listenToRuntimeErrors crash : ErrorRecord = > void , filename : string = '/static/js/bundle.js' )",73, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/index.js,"setEditorHandler handler : EditorHandler | null )",66, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/index.js,"reportBuildError error : string )",50, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/index.js,"reportRuntimeError error : Error , options ? : RuntimeReportingOption = { } )",55, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/index.js,"dismissBuildError )",38, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/index.js,"startReportingRuntimeErrors options : RuntimeReportingOptions )",81, 8, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/index.js,"dismissRuntimeErrors )",41, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/index.js,"stopReportingRuntimeErrors )",48, 4, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/index.js,"loadingIframe.onload )",73, 6, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/index.js,"update )",74, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/index.js,"updateIframeContent )",58, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/index.js,"iframeReady )",82, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/iframeScript.js,"render { currentBuildError , currentRuntimeErrorRecords , dismissRuntimeErrors , editorHandler , } )",50, 8, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/iframeScript.js,"updateContent errorOverlayProps )",67, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/components/NavigationBar.js,"NavigationBar props : NavigationBarPropsType )",63, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/components/Footer.js,"Footer props : FooterPropsType )",42, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/components/Header.js,"Header props : HeaderPropType )",60, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/components/CloseButton.js,"CloseButton { close } : { | close : CloseCallback | } )",62, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/components/CodeBlock.js,"CodeBlock props : CodeBlockPropsType )",69, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/getLinesAround.js,"getLinesAround line : number , count : number , lines : string [ ] | string )",78, 4, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/getStackFrames.js,"getStackFrames error : Error , unhandledRejection : boolean = false , contextSize : number = 3 )",81, 8, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/isBultinErrorName.js,"isBultinErrorName errorName : ? string )",49, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/mapper.js,"map frames : StackFrame [ ] , contextLines : number = 3 )",78, 10, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/generateAnsiHTML.js,"generateAnsiHTML txt : string )",78, 8, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/unmapper.js,"count search : string , string : string )",78, 4, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/unmapper.js,"unmap _fileUri : string | { uri : string , contents : string } , frames : StackFrame [ ] , contextLines : number = 3 )",80, 6, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/getSourceMap.js,"extractSourceMapUrl fileUri : string , fileContents : string )",81, 4, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/getSourceMap.js,"getSourceMap fileUri : string , fileContents : string )",73, 8, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/parser.js,"extractLocation token : string )",68, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/parser.js,"parseStack stack : string [ ] )",81, 8, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/parser.js,"parseError error : Error | string | string [ ] )",77, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/warnings.js,"stripInlineStacktrace message : string )",58, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/warnings.js,"massage warning : string , frames : ReactFrame [ ] )",40, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/isInternalFile.js,"isInternalFile sourceFileName : ? string , fileName : ? string )",70, 0, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/parseCompileError.js,"parseCompileError message : string )",78, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/dom/absolutifyCaret.js,"removeNextBr parent , component : ? Element )",74, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/dom/absolutifyCaret.js,"absolutifyCaret component : Node )",53, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/dom/css.js,"getHead document : Document )",68, 2, 0
repos/javascript/create-react-app/packages/react-error-overlay/src/utils/dom/css.js,"injectCss document : Document , css : string )",62, 0, 0
